,Name,Due,Late,Cost,Time,Done,Status,Order
100,§14 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,100
101,§14 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,101
102,§14 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,102
103,§14 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,103
104,§14 Упражнение 14.1,"October 31, 2021",0,274.73,,No,Not started,104
105,§15 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,105
106,§15 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,106
107,§15 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,107
108,§15 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,108
109,§15 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,109
110,§15 Вопрос 6,"October 31, 2021",0,274.73,,No,Not started,110
111,§15 Упражнение 15.1,"October 31, 2021",0,274.73,,No,Not started,111
112,§15 Упражнение 15.2,"October 31, 2021",0,274.73,,No,Not started,112
113,§15 Упражнение 15.3,"October 31, 2021",0,274.73,,No,Not started,113
114,§15 Упражнение 15.4,"October 31, 2021",0,274.73,,No,Not started,114
115,§15 Упражнение 15.5,"October 31, 2021",0,274.73,,No,Not started,115
116,§16 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,116
117,§16 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,117
118,§16 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,118
119,§16 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,119
120,§16 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,120
121,§16 Упражнение 16.1,"October 31, 2021",0,274.73,,No,Not started,121
122,§16 Упражнение 16.2,"October 31, 2021",0,274.73,,No,Not started,122
123,§16 Упражнение 16.3,"October 31, 2021",0,274.73,,No,Not started,123
124,§16 Упражнение 16.4,"October 31, 2021",0,274.73,,No,Not started,124
125,§16 Упражнение 16.5,"October 31, 2021",0,274.73,,No,Not started,125
126,§16 Упражнение 16.6,"October 31, 2021",0,274.73,,No,Not started,126
127,§17 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,127
128,§17 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,128
129,§17 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,129
130,§17 Упражнение 17.1,"October 31, 2021",0,274.73,,No,Not started,130
131,§17 Упражнение 17.2,"October 31, 2021",0,274.73,,No,Not started,131
132,§17 Упражнение 17.3,"October 31, 2021",0,274.73,,No,Not started,132
133,§18 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,133
134,§18 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,134
135,§18 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,135
136,§18 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,136
137,§18 Упражнение 18.1,"October 31, 2021",0,274.73,,No,Not started,137
138,§18 Упражнение 18.2,"October 31, 2021",0,274.73,,No,Not started,138
139,§18 Упражнение 18.3,"October 31, 2021",0,274.73,,No,Not started,139
140,§18 Упражнение 18.4,"October 31, 2021",0,274.73,,No,Not started,140
