Name,Cost,Done,Process,Time,Efficiency,Time done,Time_seconds,Status
§1 Вопрос 1,273.73,Yes,No,0:43:05,381.210058027079,"November 23, 2021 9:59 PM",2585.0,
§1 Вопрос 2,273.73,Yes,No,0:21:01,781.465503568596,"November 23, 2021 9:59 PM",1261.0,
§1 Вопрос 3,273.73,Yes,No,0:15:01,1093.704772475028,"November 23, 2021 9:59 PM",901.0,
§1 Вопрос 4,273.73,Yes,No,0:22:00,746.536363636364,"November 23, 2021 9:59 PM",1320.0,
§1 Вопрос 5,273.73,Yes,No,0:26:35,617.823197492163,"November 23, 2021 9:59 PM",1595.0,
§1 Вопрос 6,273.73,Yes,No,0:32:40,502.769387755102,"November 23, 2021 9:59 PM",1960.0,
§1 Упражнение 1.1,273.73,Yes,No,0:17:16,951.185328185328,"November 23, 2021 9:59 PM",1036.0,
§1 Упражнение 1.2,273.73,Yes,No,0:23:18,704.884120171674,"November 23, 2021 9:59 PM",1398.0,
§1 Упражнение 1.3,273.73,Yes,No,0:23:50,689.11048951049,"November 23, 2021 9:59 PM",1430.0,
§1 Упражнение 1.4,273.73,Yes,No,0:16:56,969.909448818898,"November 23, 2021 9:59 PM",1016.0,
§1 Упражнение 1.5,273.73,Yes,No,1:26:57,188.887866589994,"November 23, 2021 9:59 PM",5217.0,
§2 Вопрос 1,273.73,Yes,No,0:15:51,1036.201892744479,"November 23, 2021 9:59 PM",951.0,
§2 Вопрос 2,273.73,Yes,No,0:19:39,835.81679389313,"November 23, 2021 9:59 PM",1179.0,
§2 Вопрос 3,273.73,Yes,No,0:20:45,791.50843373494,"November 23, 2021 9:59 PM",1245.0,
§2 Упражнение 2.1,273.73,Yes,No,0:28:04,585.171021377672,"January 29, 2022 7:25 PM",1684.0,
§2 Упражнение 2.2,273.73,Yes,No,0:22:45,721.925274725275,"November 23, 2021 9:59 PM",1365.0,
§3 Вопрос 1,273.73,Yes,No,0:48:01,342.043734814301,"November 23, 2021 9:59 PM",2881.0,
§3 Вопрос 2,273.73,Yes,No,0:17:41,928.772855796419,"November 23, 2021 9:59 PM",1061.0,
